Location,Population,HighestInfectionCount,PercentPopulationInfected
Cyprus,896007,631111,70.43594525
San Marino,33690,23176,68.79192639
Faeroe Islands,53117,34658,65.24841388
Austria,8939617,5719585,63.98020184
Gibraltar,32677,20275,62.04669951
Slovenia,2119843,1311787,61.881328
Brunei,449002,270199,60.17768295
Andorra,79843,47781,59.84369325
France,67813000,39421813,58.13312049
Denmark,5882259,3393327,57.68748027
Saint Pierre and Miquelon,5885,3349,56.90739167
South Korea,51815808,29420226,56.77847579
Iceland,372903,208298,55.85849403
Portugal,10270857,5557941,54.11370249
Liechtenstein,39355,21296,54.11256511
Greece,10384972,5548487,53.42804006
Latvia,1850654,974466,52.6552235
Falkland Islands,3801,1930,50.77611155
Israel,9449000,4768748,50.46828236
Switzerland,8740471,4403682,50.38266244
Netherlands,17564020,8582961,48.86672299
Luxembourg,647601,313421,48.39723842
Georgia,3744385,1809359,48.32192737
Bahrain,1472237,699054,47.48243659
Slovakia,5643455,2658031,47.09935669
Seychelles,107135,50355,47.00144677
Lithuania,2750058,1290252,46.91726502
Estonia,1326064,612451,46.18562905
Cayman Islands,68722,31472,45.79610605
Montenegro,627082,284956,45.44158499
Germany,83369840,37496370,44.97594094
Isle of Man,84534,38008,44.96179052
Monaco,36491,15976,43.78065824
Czechia,10493990,4582092,43.66396385
Bonaire Sint Eustatius and Saba,27052,11764,43.48661836
Australia,26177410,11190571,42.7489618
Italy,59037472,25143705,42.58939983
Aruba,106459,44145,41.46666792
New Zealand,5185289,2117703,40.84059731
European Union,450146793,181982873,40.42745074
Belgium,11655923,4682234,40.17042666
Saint Helena,5401,2166,40.1036845
Singapore,5637022,2206153,39.13685276
Taiwan,23893396,8979699,37.58234702
Cook Islands,17032,6389,37.5117426
Barbados,281646,105515,37.46369556
Marshall Islands,41593,15554,37.39571563
Nauru,12691,4621,36.41163029
Hong Kong,7488863,2720255,36.32400539
United Kingdom,67508936,24210131,35.86211313
Serbia,6871547,2450711,35.66461817
Maldives,523798,185693,35.45126175
Ireland,5023108,1693847,33.72109459
Palau,18084,5971,33.01813758
Europe,744807803,245336910,32.93962671
Montserrat,4413,1403,31.79243145
Croatia,4030361,1265075,31.38862747
Oceania,45038860,13714905,30.4512703
United States,338289856,101172434,29.90702565
Uruguay,3422796,1020161,29.80490219
Mongolia,3398373,1007743,29.65369016
Wallis and Futuna,11596,3427,29.55329424
Bermuda,64207,18684,29.09963088
Spain,47558632,13693478,28.79283407
New Caledonia,289959,79742,27.50112947
Norway,5434324,1475966,27.16006628
Finland,5540745,1446397,26.10473862
Chile,19603736,5052980,25.77559706
French Polynesia,306292,77957,25.4518564
Sweden,10549349,2683356,25.4362236
Tuvalu,11335,2828,24.94927217
Anguilla,15877,3904,24.58902815
Japan,123951696,29820977,24.05854697
Curacao,191173,45986,24.05465207
British Virgin Islands,31332,7305,23.31482191
Panama,4408582,1025844,23.26925075
Costa Rica,5180836,1166842,22.52227247
Mauritius,1299478,291335,22.41938686
Lebanon,5489744,1223174,22.2810754
Hungary,9967304,2188737,21.95916769
Argentina,45510324,9963697,21.89326756
Malta,533293,116553,21.85534031
Dominica,72758,15760,21.66084829
Greenland,56494,11971,21.18986087
Turkey,85341248,17042722,19.97008762
North America,600323657,119670574,19.93434252
Micronesia (country),114178,22234,19.4731034
Bulgaria,6781955,1292778,19.06202563
Moldova,3272993,596914,18.2375581
Qatar,2695131,490309,18.19239955
Belize,405285,70174,17.31472914
Brazil,215313504,36423138,16.91632774
Romania,19659270,3312085,16.84744652
Saint Lucia,179872,29748,16.53842733
North Macedonia,2093606,345857,16.51967944
Armenia,2780472,445976,16.03957889
Poland,39857144,6370533,15.98341567
Grenada,125459,19660,15.67045808
Kuwait,4268886,662747,15.52505736
Jordan,11285875,1746997,15.47949982
Tonga,106867,16487,15.42758756
South America,436816679,66971353,15.33168403
Kosovo,1782115,272305,15.27987812
Russia,144713312,21508942,14.86313989
Malaysia,33938216,5028794,14.81749659
Ukraine,39701744,5666112,14.27169547
Turks and Caicos Islands,45726,6479,14.16918165
Saint Kitts and Nevis,47681,6571,13.7811707
Palestine,5250076,703228,13.39462514
Suriname,618046,82020,13.27085686
Peru,34049588,4461129,13.10185897
Botswana,2630300,328760,12.49895449
Bosnia and Herzegovina,3233530,401077,12.40368885
Colombia,51874028,6343020,12.22773755
Trinidad and Tobago,1531043,186279,12.16680394
Canada,38454328,4520290,11.75495773
Albania,2842318,333850,11.74569489
Vietnam,98186856,11525571,11.73840519
Paraguay,6780745,792215,11.68330324
United Arab Emirates,9441138,1047290,11.09283648
Cape Verde,593162,63207,10.65594222
Belarus,9534956,994037,10.42518707
Cuba,11212198,1112088,9.918554774
Antigua and Barbuda,93772,9106,9.710787868
Bolivia,12224114,1168711,9.560701086
Tunisia,12356116,1147645,9.288072401
Saint Vincent and the Grenadines,103959,9552,9.188237671
Bahamas,409989,37491,9.144391679
Guyana,808727,72261,8.935153643
Oman,4576300,399154,8.722199157
Iran,88550568,7561624,8.539328624
World,7975105024,662756207,8.310313219
Bhutan,782457,62538,7.992515883
Azerbaijan,10358078,826562,7.97987812
Kazakhstan,19397998,1488306,7.67247218
Libya,6812344,507153,7.444618181
Fiji,929769,68771,7.396568395
Samoa,222390,15991,7.190521157
Guatemala,17843914,1207914,6.76933323
South Africa,59893884,4049836,6.761685383
Namibia,2567024,170295,6.633946547
Thailand,71697024,4723618,6.588304139
Eswatini,1201680,74034,6.160874775
Dominican Republic,11228821,659211,5.870705393
Ecuador,18001002,1040463,5.780028245
Mexico,127504120,7257916,5.692299198
Iraq,44496124,2465545,5.541033192
Jamaica,2827382,152791,5.403974419
Honduras,10432858,468048,4.486287458
Asia,4721383370,204589244,4.333247863
Vanuatu,326744,12014,3.676884656
Philippines,115559008,4200225,3.634701502
Vatican,808,29,3.589108911
Morocco,37457976,1271786,3.395234169
Solomon Islands,724272,24575,3.393062275
Nepal,30547586,1001015,3.276903779
El Salvador,6336393,201785,3.184540479
India,1417173120,44680543,3.15279357
Kyrgyzstan,6630621,206567,3.115349226
Sri Lanka,21832150,671916,3.077644666
Laos,7529477,217850,2.893295245
Sao Tome and Principe,227393,6279,2.761298721
Kiribati,131237,3430,2.613592203
Indonesia,275501344,6722227,2.439997897
Saudi Arabia,36408824,827152,2.271844869
Gabon,2388997,48980,2.050232796
Venezuela,28301700,550657,1.945667575
Timor,1341298,23399,1.744504204
Zambia,20017670,335131,1.674175866
Zimbabwe,16320539,259981,1.592968222
Lesotho,2305826,34790,1.508786873
Djibouti,1120851,15690,1.399829237
Mauritania,4736146,63429,1.339253477
Bangladesh,171186368,2037230,1.190065555
Myanmar,54179312,633700,1.169634638
Comoros,836783,8983,1.073516073
Equatorial Guinea,1674916,17186,1.026081308
Rwanda,13776702,133033,0.965637494
Africa,1426736614,12472500,0.874197794
Cambodia,16767851,138615,0.826671229
Uzbekistan,34627648,249819,0.721443743
Mozambique,32969520,230970,0.70055615
Pakistan,235824864,1575887,0.668244634
Kenya,54027484,342562,0.634051365
Algeria,44903228,271244,0.604063476
Senegal,17316452,88900,0.513384613
Ghana,33475870,171065,0.511009871
Afghanistan,41128772,207748,0.505115981
Gambia,2705995,12586,0.46511542
Egypt,110990096,515645,0.464586498
Papua New Guinea,10142625,46663,0.460068276
Togo,8848700,39345,0.444641586
Cameroon,27914542,123993,0.444187836
Malawi,20405318,88220,0.432338276
Congo,5970430,25375,0.425011264
Guinea-Bissau,2105580,8947,0.42491855
Macao,695180,2907,0.41816508
Burundi,12889583,52162,0.404683379
Ethiopia,123379928,498552,0.404078693
Uganda,47249588,169985,0.359759751
Cote d'Ivoire,28160548,87949,0.312312814
Angola,35588996,105095,0.295301952
Haiti,11585003,33912,0.292723273
Eritrea,3684041,10189,0.276571298
Guinea,13859349,38210,0.275698375
Central African Republic,5579148,15351,0.275149539
Syria,22125242,57423,0.259536144
Madagascar,29611718,67750,0.22879456
Nicaragua,6948395,15466,0.222583777
Benin,13352864,27982,0.209558039
Tajikistan,9952789,17786,0.178703678
South Sudan,10913172,18368,0.168310368
Somalia,17597508,27310,0.155192428
Liberia,5302690,8043,0.151677733
Mali,22593598,32771,0.145045512
China,1425887360,1982427,0.139031108
Sudan,46874200,63702,0.135899919
Nigeria,218541216,266450,0.121922082
Burkina Faso,22673764,22006,0.097054905
Democratic Republic of Congo,99010216,95173,0.096124424
Sierra Leone,8605723,7760,0.090172551
Tanzania,65497752,42351,0.064660234
Chad,17723312,7651,0.043169132
Niger,26207982,9473,0.036145477
Yemen,33696612,11945,0.035448668
North Korea,26069416,1,3.84E-06
Northern Cyprus,382836,0,0
Tokelau,1893,0,0
Niue,1952,0,0
Sint Maarten (Dutch part),44192,0,0
Northern Mariana Islands,49574,0,0
Scotland,5466000,0,0
United States Virgin Islands,99479,0,0
Western Sahara,576005,0,0
Turkmenistan,6430777,0,0
England,56550000,0,0
Guam,171783,0,0
Pitcairn,47,0,0
International,0,721,0
Guernsey,63329,0,0
Puerto Rico,3252412,0,0
Jersey,110796,0,0
Wales,3170000,0,0
Northern Ireland,1896000,0,0
